title,artist,movie,rating,genre,original_language,official_lyrics,label_username
Moonlit Promise,Arijit Verma,Silver Nights,5,romantic,hi,"Your name returns with every heartbeat tonight.",musicly
Velvet Rain,Shreya Mehta,City Monsoon,4,romantic,en,"Rain on the window sounds softer when you stay.",musicly
Saffron Skies,Ananya Rao,Golden Hour,5,romantic,mr,"The evening sky blushes the way your silence does.",musicly
Hidden Letters,Rohan Kale,Paper Hearts,4,romantic,bn,"I kept your words folded inside my winter coat.",musicly
Heartbeat Highway,Karan Malhotra,Neon Ride,5,dance,en,"Turn the speakers higher and let the night keep spinning.",musicly
Bassline Bazaar,Nikita Sen,Street Lights,4,dance,hi,"The whole city dances when the drum finds its fire.",musicly
Midnight Dhol,Tanish Iyer,Festival Run,5,dance,ta,"Feet find the rhythm before the mind can catch up.",musicly
Electric Rangoli,Aisha Khan,Glow Parade,4,dance,mr,"Colors and beats burst together under the open sky.",musicly
Fading Platform,Sonu Desai,Last Departure,4,sad,hi,"Your train left, but your shadow stayed on the platform.",musicly
Ashes Of June,Mira Dutta,Empty Season,5,sad,en,"Summer ended the day your laughter left this room.",musicly
Broken Monsoon,Rehan Ali,Cloud Memory,4,sad,bn,"Every rainstorm now carries a softer kind of ache.",musicly
Silent Courtyard,Priya Kulkarni,Old House,5,sad,mr,"The courtyard waits like a question no one answers.",musicly
Crimson Spotlight,Neha Arora,Velvet Stage,4,item,hi,"I arrive like fire and the room forgets its name.",musicly
Diamond Anklets,Ruhi Kapoor,Dance Floor Queen,5,item,en,"Every glance follows the shimmer at my feet.",musicly
Mirror Flame,Sana Qureshi,Midnight Palace,4,item,ta,"The mirrors wake up when my bangles start talking.",musicly
Golden Pulse,Ira Sethi,Silk Fever,5,item,mr,"My step writes sparks across the marble floor.",musicly
Darbar E Ishq,Faisal Warsi,Royal Courtyard,5,qawwali,hi,"Love enters like prayer and leaves like light.",musicly
Noor Ka Safar,Sajid Aman,Sacred Echoes,5,qawwali,en,"The soul finds its road where devotion becomes music.",musicly
Samaa Bandha,Ali Reza,Night Of Grace,4,qawwali,bn,"One chorus and the room leans toward the divine.",musicly
Ink Of Longing,Zara Hussain,Letters At Dawn,5,ghazal,hi,"I wrote your absence until it turned into verse.",musicly
Winter Couplet,Adil Mir,Blue Lantern,4,ghazal,en,"The candle listened while I spoke your name to dusk.",musicly
Dusty Diwan,Faraz Khan,Old Pages,4,ghazal,mr,"Every page smells faintly of patience and farewell.",musicly
Ivory Raag,Vaidehi Joshi,Morning Court,5,classical,hi,"The first note rises like sunlight on temple stone.",musicly
Sitar Dawn,Ritika Menon,River Raga,4,classical,en,"Strings bloom slowly over the hush of daybreak.",musicly
Temple Breeze,Harini Subramaniam,Sacred Steps,5,classical,ta,"A patient melody circles the pillars in prayer.",musicly
Veena Reverie,Devyani Patil,Heritage Hall,4,classical,mr,"Ancient rhythms rest gently inside the afternoon air.",musicly
Village Lanterns,Gauri Patnaik,Harvest Moon,5,folk,hi,"The road home glows in the songs of the fields.",musicly
Clay Drum,Samarjit Paul,Earth Song,4,folk,bn,"Hands on the drum echo the strength of the soil.",musicly
Mango Orchard,Lata Shinde,Summer Fair,5,folk,mr,"Children laugh where the breeze tastes sweet and green.",musicly
Bullock Cart Ballad,Naveen Reddy,Rustic Mile,4,folk,ta,"Wheels turn slow, but stories travel far.",musicly
Flag In The Wind,Amanpreet Gill,Brave Soil,5,patriotic,hi,"We stand taller when the tricolor meets the sky.",musicly
March Of Rivers,Diya Thomas,Homeland,4,patriotic,en,"Every river remembers the courage that shaped this land.",musicly
Mitti Ka Vaada,Harsh Kulkarni,Red Fort Road,5,patriotic,mr,"The earth itself asks us to walk with honor.",musicly
Voice Of The Frontier,Suhana Bose,Borders Of Dawn,4,patriotic,bn,"A distant bugle carries hope across the hills.",musicly
Temple Bell,Aarav Soman,Faith Within,5,devotional,hi,"One bell note opens a thousand quiet prayers.",musicly
Lotus Flame,Ishita Roy,Sacred River,4,devotional,en,"I lay my worries down beside the water.",musicly
Bhakti Path,Omkar Bhide,Pilgrim Song,5,devotional,mr,"The road is long but each chant makes it lighter.",musicly
Vel Patham,Kavin Raj,Hill Shrine,4,devotional,ta,"Every step to the shrine carries a softer heart.",musicly
Street Cipher,Vedant Rawat,Concrete Verse,5,rap,hi,"My truth hits harder than the bass on these blocks.",musicly
Mic Check Metro,Rapper K,City Pulse,4,rap,en,"I trade fear for rhythm under neon station lights.",musicly
Asphalt Anthem,Reyhan Das,Sidewalk Stories,5,rap,bn,"The pavement knows every hustle in my breath.",musicly
Bars Of Dust,Sid Kale,Open Terrace,4,rap,mr,"I built my voice from noise nobody wanted.",musicly
Disco Recall,Kiara Dsouza,Retro Nights,4,remix,en,"Old melodies return wearing brighter shoes.",musicly
Club Rewind,Yash Puri,Flashback Fever,5,remix,hi,"Tonight the classic hook comes back with thunder.",musicly
Vinyl Sparks,Mitali Sen,Turntable Love,4,remix,bn,"A vintage chorus spins into a brand new rush.",musicly
Echo Edit,Rhea Nair,Remade,5,remix,ta,"Familiar lines rise again through electric haze.",musicly
Whirling Dust,Aftab Noor,Desert Shrine,5,sufi,hi,"The heart keeps turning until it finds the beloved.",musicly
Dervish Light,Sameer Qadri,Inner Sky,4,sufi,en,"I lost myself and found a quieter universe.",musicly
Soul Caravan,Nusrat Jahan,Mystic Road,5,sufi,bn,"The journey inward hums like a distant reed flute.",musicly
Breath Of Sand,Imran Sheikh,Silent Minaret,4,sufi,mr,"Love moves unseen, like wind across the dunes.",musicly
